NO,NAMAUPT,GARDU INDUK,BAY_PENGHANTAR,MERK,TIPE,TGL_OPRS,THN_BUAT,USIA,FASA,MERK BUSHING,TYPE BUSHING,NO SERI,JENIS BUSHING ,LEVEL MINYAK,HASIL THERMOVISI,KONDISI FISIK,Nilai Tadel,HASIL UJI TANDEL,KONDISI CENTER TAP,KETERANGAN,
119,UPT PURWOKERTO,GI 150KV MAJENANG,TRF#3 150/20kV,UNINDO,MPT,31-Mei-2016,2014,10,S,PASSONIVILLA,,,BELUM DI KETAHUI,,,,,GOOD,,,
120,UPT PURWOKERTO,GI 150KV MAJENANG,TRF#3 150/20kV,UNINDO,MPT,31-Mei-2016,2014,10,T,PASSONIVILLA,,,BELUM DI KETAHUI,,,,,GOOD,,,
121,UPT PURWOKERTO,GI 150KV MRICA,TRF#1 150/20kV,CG PAUWELS,ORF.60/275,7-Agu-2015,2015,10,R,,,,RIP,,,,,,,,
122,UPT PURWOKERTO,GI 150KV MRICA,TRF#1 150/20kV,CG PAUWELS,ORF.60/275,7-Agu-2015,2015,10,S,,,,RIP,,,,,,,,
123,UPT PURWOKERTO,GI 150KV MRICA,TRF#1 150/20kV,CG PAUWELS,ORF.60/275,7-Agu-2015,2015,10,T,,,,RIP,,,,,,,,
124,UPT PURWOKERTO,GI 150KV PEKALONGAN,TRF#3 150/20KV,UNINDO,TTUB150/60000,31-Mei-2002,2000,24,R,HAEFELY TRENCH,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
125,UPT PURWOKERTO,GI 150KV PEKALONGAN,TRF#3 150/20KV,UNINDO,TTUB150/60000,31-Mei-2002,2000,24,S,HAEFELY TRENCH,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
126,UPT PURWOKERTO,GI 150KV PEKALONGAN,TRF#3 150/20KV,UNINDO,TTUB150/60000,31-Mei-2002,2000,24,T,HAEFELY TRENCH,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
127,UPT PURWOKERTO,GI 150KV PEKALONGAN,TRF#2 150/22kV,SCHNEIDER,OIL FILLED WITH CONSERVATOR,23-Des-2020,2020,5,R,HSP,STARIP(R) 170-1250 E=3 SPEZ,281677,RIP,,,,,,,,
128,UPT PURWOKERTO,GI 150KV PEKALONGAN,TRF#2 150/22kV,SCHNEIDER,OIL FILLED WITH CONSERVATOR,23-Des-2020,2020,5,S,HSP,STARIP(R) 170-1250 E=3 SPEZ,281675,RIP,,,,,,,,
129,UPT PURWOKERTO,GI 150KV PEKALONGAN,TRF#2 150/22kV,SCHNEIDER,OIL FILLED WITH CONSERVATOR,23-Des-2020,2020,5,T,HSP,STARIP(R) 170-1250 E=3 SPEZ,281676,RIP,,,,,,,,
130,UPT PURWOKERTO,GI 150KV PEKALONGAN,TRF#1 150/20kV,UNINDO,MPT,22-Jun-2016,2015,10,R,PASSONIVILLA,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
131,UPT PURWOKERTO,GI 150KV PEKALONGAN,TRF#1 150/20kV,UNINDO,MPT,22-Jun-2016,2015,10,S,PASSONIVILLA,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
132,UPT PURWOKERTO,GI 150KV PEKALONGAN,TRF#1 150/20kV,UNINDO,MPT,22-Jun-2016,2015,10,T,PASSONIVILLA,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
133,UPT PURWOKERTO,GI 150KV PEMALANG,TRF#2 150/20kV,UNINDO,TTUB150/60000,11-Jul-2000,2000,26,R,,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
134,UPT PURWOKERTO,GI 150KV PEMALANG,TRF#2 150/20kV,UNINDO,TTUB150/60000,11-Jul-2000,2000,26,S,,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
135,UPT PURWOKERTO,GI 150KV PEMALANG,TRF#2 150/20kV,UNINDO,TTUB150/60000,11-Jul-2000,2000,26,T,,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
136,UPT PURWOKERTO,GI 150KV PEMALANG,TRF#3 150/22kV,UNINDO,MPT,21-Des-2016,2016,9,R,HSP,STARIP 170-1250 E=3 spez,N6250368,RIP,,,,,,,,
137,UPT PURWOKERTO,GI 150KV PEMALANG,TRF#3 150/22kV,UNINDO,MPT,21-Des-2016,2016,9,S,HSP,STARIP 170-1250 E=3 spez,,RIP,,,,,,,,
138,UPT PURWOKERTO,GI 150KV PEMALANG,TRF#3 150/22kV,UNINDO,MPT,21-Des-2016,2016,9,T,HSP,STARIP 170-1250 E=3 spez,,RIP,,,,,,,,
139,UPT PURWOKERTO,GI 150KV PEMALANG,TRF#1 150/20kV,PAUWELS TRAFO ASIA,ORF.60/275,11-Mar-2008,2008,18,R,HAEFELY TRENCH,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
140,UPT PURWOKERTO,GI 150KV PEMALANG,TRF#1 150/20kV,PAUWELS TRAFO ASIA,ORF.60/275,11-Mar-2008,2008,18,S,HAEFELY TRENCH,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
141,UPT PURWOKERTO,GI 150KV PEMALANG,TRF#1 150/20kV,PAUWELS TRAFO ASIA,ORF.60/275,11-Mar-2008,2008,18,T,HAEFELY TRENCH,,,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
142,UPT PURWOKERTO,GI 150KV PLTP GEODIPA,TRF#2 11/150kV,SIEMENS,1YLR760550032,1-Jan-2022,2021,4,R,,,,BELUM DI KETAHUI,,,,,,,,
143,UPT PURWOKERTO,GI 150KV PLTP GEODIPA,TRF#2 11/150kV,SIEMENS,1YLR760550032,1-Jan-2022,2021,4,S,,,,BELUM DI KETAHUI,,,,,,,,
144,UPT PURWOKERTO,GI 150KV PLTP GEODIPA,TRF#2 11/150kV,SIEMENS,1YLR760550032,1-Jan-2022,2021,4,T,,,,BELUM DI KETAHUI,,,,,,,,
145,UPT PURWOKERTO,GI 150KV PURBALINGGA,TRF#1 150/20KV,ELIN,SFZ-60000/150,29-Des-2007,2006,18,R,HAEFELY TRENCH,COT 750-800,60009,OIP,,,,,GOOD,,,
146,UPT PURWOKERTO,GI 150KV PURBALINGGA,TRF#1 150/20KV,ELIN,SFZ-60000/150,29-Des-2007,2006,18,S,HAEFELY TRENCH,COT 750-800,06 A 4100,OIP,,,,,GOOD,,,
147,UPT PURWOKERTO,GI 150KV PURBALINGGA,TRF#1 150/20KV,ELIN,SFZ-60000/150,29-Des-2007,2006,18,T,HAEFELY TRENCH,COT 750-800,60013,OIP,,,,,GOOD,,,
148,UPT PURWOKERTO,GI 150KV PURBALINGGA,TRF#2 150/20kV,CG PAUWELS,ORF.60/275,23-Mar-2015,2014,11,R,HSP,STARIP 170-1250 E=3 spez,N3 236196,RIP,,,,,,,,
149,UPT PURWOKERTO,GI 150KV PURBALINGGA,TRF#2 150/20kV,CG PAUWELS,ORF.60/275,23-Mar-2015,2014,11,S,HSP,STARIP 170-1250 E=3 spez,N3 236184,RIP,,,,,,,,
150,UPT PURWOKERTO,GI 150KV PURBALINGGA,TRF#2 150/20kV,CG PAUWELS,ORF.60/275,23-Mar-2015,2014,11,T,HSP,STARIP 170-1250 E=3 spez,N3 236183,RIP,,,,,,,,
151,UPT PURWOKERTO,GI 150KV PURBALINGGA,TRF#3 150/22kV,ABB,SFZ-60000/150,8-Sep-2019,2018,6,R,ABB,RTF 170-750 / 1250B,1ZCD11790632,RIP,,,,,,,,
152,UPT PURWOKERTO,GI 150KV PURBALINGGA,TRF#3 150/22kV,ABB,SFZ-60000/150,8-Sep-2019,2018,6,S,ABB,RTF 170-750 / 1250B,1ZCD11790628,RIP,,,,,,,,
153,UPT PURWOKERTO,GI 150KV PURBALINGGA,TRF#3 150/22kV,ABB,SFZ-60000/150,8-Sep-2019,2018,6,T,ABB,RTF 170-750 / 1250B,1ZCD11790627,RIP,,,,,,,,
154,UPT PURWOKERTO,GI 150KV RAWALO,TRF#2 150/20kV,ABB,SDOR.30000/170,12-Jul-2005,1993,21,R,ABB,GOB 750,224395,OIP,,,,,GOOD,,,
155,UPT PURWOKERTO,GI 150KV RAWALO,TRF#2 150/20kV,ABB,SDOR.30000/170,12-Jul-2005,1993,21,S,ABB,GOB 750,224394,OIP,,,,,GOOD,,,
156,UPT PURWOKERTO,GI 150KV RAWALO,TRF#2 150/20kV,ABB,SDOR.30000/170,12-Jul-2005,1993,21,T,ABB,GOB 750,224390,OIP,,,,,GOOD,,,
157,UPT PURWOKERTO,GI 150KV RAWALO,TRF#1 150/20kV,UNINDO,MPT,25-Agu-2016,2015,9,R,PASSONIVILLA,PNO 170.750.800,HH03039724,OIP,,,,,GOOD,,,
158,UPT PURWOKERTO,GI 150KV RAWALO,TRF#1 150/20kV,UNINDO,MPT,25-Agu-2016,2015,9,S,PASSONIVILLA,PNO 170.750.800,HH03040548,OIP,,,,,GOOD,,,
159,UPT PURWOKERTO,GI 150KV RAWALO,TRF#1 150/20kV,UNINDO,MPT,25-Agu-2016,2015,9,T,PASSONIVILLA,PNO 170.750.800,HH03040558,OIP,,,,,GOOD,,,
160,UPT PURWOKERTO,GI 150KV SEMENNUSANTARA,TRF#1 150/20kV,PASTI,ORF.60/275,1-Jan-1996,1995,30,R,PASSONIVILLA,PNO.170.750.800,HH03070559,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
161,UPT PURWOKERTO,GI 150KV SEMENNUSANTARA,TRF#1 150/20kV,PASTI,ORF.60/275,1-Jan-1996,1995,30,S,PASSONIVILLA,PNO.170.750.800,HH03070560,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
162,UPT PURWOKERTO,GI 150KV SEMENNUSANTARA,TRF#1 150/20kV,PASTI,ORF.60/275,1-Jan-1996,1995,30,T,PASSONIVILLA,PNO.170.750.800,HH03070562,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
163,UPT PURWOKERTO,GI 150KV SEMENNUSANTARA,TRF#2 150/22kV,UNINDO,MPT,23-Jan-2018,2017,8,R,PASSONIVILLA,PNR.170.750.1250,HH03064303,RIP,,,,,,,,
164,UPT PURWOKERTO,GI 150KV SEMENNUSANTARA,TRF#2 150/22kV,UNINDO,MPT,23-Jan-2018,2017,8,S,PASSONIVILLA,PNR.170.750.1250,HH03065251,RIP,,,,,,,,
165,UPT PURWOKERTO,GI 150KV SEMENNUSANTARA,TRF#2 150/22kV,UNINDO,MPT,23-Jan-2018,2017,8,T,PASSONIVILLA,PNR.170.750.1250,HH03065252,RIP,,,,,,,,
166,UPT PURWOKERTO,GI 150KV STAR,TRF#1 150/22kV,CG PAUWELS,ORF.60/275,7-Sep-2018,2017,7,R,HSP,STARIP 170-1250 E=3 spez,,RIP,,,,,,,,
167,UPT PURWOKERTO,GI 150KV STAR,TRF#1 150/22kV,CG PAUWELS,ORF.60/275,7-Sep-2018,2017,7,S,HSP,STARIP 170-1250 E=3 spez,,RIP,,,,,,,,
168,UPT PURWOKERTO,GI 150KV STAR,TRF#1 150/22kV,CG PAUWELS,ORF.60/275,7-Sep-2018,2017,7,T,HSP,STARIP 170-1250 E=3 spez,,RIP,,,,,,,,
169,UPT PURWOKERTO,GI 150KV TARUB,TRF#1 150/22kV,SCHNEIDER,ORF.60/275,12-Des-2023,2019,2,R,,,,RIP,,,,,,,,
170,UPT PURWOKERTO,GI 150KV TARUB,TRF#1 150/22kV,SCHNEIDER,ORF.60/275,12-Des-2023,2019,2,S,,,,RIP,,,,,,,,
171,UPT PURWOKERTO,GI 150KV TARUB,TRF#1 150/22kV,SCHNEIDER,ORF.60/275,12-Des-2023,2019,2,T,,,,RIP,,,,,,,,
172,UPT PURWOKERTO,GI 150KV TEMANGGUNG,TRF#1 150/20kV,PAUWELS TRAFO ASIA,ORF.30/275,5-Feb-2002,2000,24,R,TRENCH,COT 750-800/03001340,00 B 6095,OIP,KURANG JELAS,NORMAL,NORMAL,,GOOD,NORMAL,,
173,UPT PURWOKERTO,GI 150KV TEMANGGUNG,TRF#1 150/20kV,PAUWELS TRAFO ASIA,ORF.30/275,5-Feb-2002,2000,24,S,TRENCH,COT 750-800/03001340,00 B 6096,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
174,UPT PURWOKERTO,GI 150KV TEMANGGUNG,TRF#1 150/20kV,PAUWELS TRAFO ASIA,ORF.30/275,5-Feb-2002,2000,24,T,TRENCH,COT 750-800/03001340,00 B 6097,OIP,NORMAL,NORMAL,NORMAL,,GOOD,NORMAL,,
175,UPT PURWOKERTO,GI 150KV TEMANGGUNG,TRF#2 150/20kV,CG PAUWELS,ORF.60/275,28-Mei-2016,2015,10,R,,,,RIP,,,,,,,,
176,UPT PURWOKERTO,GI 150KV TEMANGGUNG,TRF#2 150/20kV,CG PAUWELS,ORF.60/275,28-Mei-2016,2015,10,S,,,,RIP,,,,,,,,
177,UPT PURWOKERTO,GI 150KV TEMANGGUNG,TRF#2 150/20kV,CG PAUWELS,ORF.60/275,28-Mei-2016,2015,10,T,,,,RIP,,,,,,,,
178,UPT PURWOKERTO,GI 150KV WADASLINTANG,TRF#1 150/22kV,XD SAKTI INDONESIA,SFZ-60000/150,22-Okt-2019,2018,6,R,ABB,RTF 170-750 / 1250B,1ZCD11691850,RIP,,,,,,,,
179,UPT PURWOKERTO,GI 150KV WADASLINTANG,TRF#1 150/22kV,XD SAKTI INDONESIA,SFZ-60000/150,22-Okt-2019,2018,6,S,ABB,RTF 170-750 / 1250B,1ZCD11691847,RIP,,,,,,,,
180,UPT PURWOKERTO,GI 150KV WADASLINTANG,TRF#1 150/22kV,XD SAKTI INDONESIA,SFZ-60000/150,22-Okt-2019,2018,6,T,ABB,RTF 170-750 / 1250B,1ZCD11691848,RIP,,,,,,,,
181,UPT PURWOKERTO,GI 150KV WONOSOBO,TRF#2 150/20kV,PAUWELS TRAFO ASIA,ORF.30/275,25-Sep-2003,2002,22,R,,,,OIP,,,,,GOOD,,,
182,UPT PURWOKERTO,GI 150KV WONOSOBO,TRF#2 150/20kV,PAUWELS TRAFO ASIA,ORF.30/275,25-Sep-2003,2002,22,S,,,,OIP,,,,,GOOD,,,
183,UPT PURWOKERTO,GI 150KV WONOSOBO,TRF#2 150/20kV,PAUWELS TRAFO ASIA,ORF.30/275,25-Sep-2003,2002,22,T,,,,OIP,,,,,GOOD,,,
184,UPT PURWOKERTO,GI 150KV WONOSOBO,TRF#1 150/20kV,UNINDO,MPT,20-Mei-2016,2014,10,R,,,,OIP,,,,,GOOD,,,
185,UPT PURWOKERTO,GI 150KV WONOSOBO,TRF#1 150/20kV,UNINDO,MPT,20-Mei-2016,2014,10,S,,,,OIP,,,,,GOOD,,,
186,UPT PURWOKERTO,GI 150KV WONOSOBO,TRF#1 150/20kV,UNINDO,MPT,20-Mei-2016,2014,10,T,,,,OIP,,,,,GOOD,,,
187,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#2 500/150kV (HV),CG PAUWELS,EORF.167/680,25-Jun-2019,2018,7,H.R,HSP,ETFt 1800-550-B E5 B spez,272302,RIP,,,,,,,,
188,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#2 500/150kV (HV),CG PAUWELS,EORF.167/680,25-Jun-2019,2018,7,L.R,HSP,ETFt 750-170-2500 E3 spez,269955,RIP,,,,,,,,
189,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#2 500/150kV (HV),CG PAUWELS,EORF.167/680,25-Jun-2019,2018,7,TV.1,HSP,ETFt 550-123-2500 E3 spez,273661,RIP,,,,,,,,
190,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#2 500/150kV (HV),CG PAUWELS,EORF.167/680,25-Jun-2019,2018,7,TV.2,HSP,ETFt 550-123-2500 E3 spez,273663,RIP,,,,,,,,
191,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#2 500/150kV (HV),CG PAUWELS,EORF 167/680,25-Jun-2019,2018,7,H.S,HSP,ETFt 1800-550-B E5 B spez,272300,RIP,,,,,,,,
192,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#2 500/150kV (HV),CG PAUWELS,EORF 167/680,25-Jun-2019,2018,7,L.S,HSP,ETFt 750-170-2500 E3 spez,272304,RIP,,,,,,,,
193,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#2 500/150kV (HV),CG PAUWELS,EORF 167/680,25-Jun-2019,2018,7,TV.1,HSP,ETFt 550-123-2500 E3 spez,273662,RIP,,,,,,,,
194,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#2 500/150kV (HV),CG PAUWELS,EORF 167/680,25-Jun-2019,2018,7,TV.2,HSP,ETFt 550-123-2500 E3 spez,273660,RIP,,,,,,,,
195,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#2 500/150kV (HV),CG PAUWELS,EORF.167/680,25-Jun-2019,2018,7,H.T,HSP,ETFt 1800-550-B E5 B spez,272301,RIP,,,,,,,,
196,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#2 500/150kV (HV),CG PAUWELS,EORF.167/680,25-Jun-2019,2018,7,L.T,HSP,ETFt 750-170-2500 E3 spez,272303,RIP,,,,,,,,
197,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#2 500/150kV (HV),CG PAUWELS,EORF.167/680,25-Jun-2019,2018,7,TV.1,HSP,ETFt 550-123-2500 E3 spez,273428,RIP,,,,,,,,
198,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#2 500/150kV (HV),CG PAUWELS,EORF.167/680,25-Jun-2019,2018,7,TV.2,HSP,ETFt 550-123-2500 E3 spez,273429,RIP,,,,,,,,
199,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#1 500/150kV (HV),CG PAUWELS,EORF.167/680,22-Nov-2017,2017,8,H.R,ABB,RTKF 550-1800 / 1600F,1ZCD11561751,RIP,,,,,,,,
200,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#1 500/150kV (HV),CG PAUWELS,EORF.167/680,22-Nov-2017,2017,8,L.R,ABB ,RTKF 170-750 / 2500B,1ZCD11563737,RIP,,,,,,,,
201,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#1 500/150kV (HV),CG PAUWELS,EORF.167/680,22-Nov-2017,2017,8,TV.1R,ABB,RKTF 123-550 / 2500 B,1ZCD11563741,RIP,,,,,,,,
202,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#1 500/150kV (HV),CG PAUWELS,EORF.167/680,22-Nov-2017,2017,8,TV.2R,ABB,RKTF 123-550 / 2500 B,1ZCD11563740,RIP,,,,,,,,
203,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#1 500/150kV (HV),CG PAUWELS,EORF.167/680,22-Nov-2017,2017,8,H.S,ABB,RTKF 550-1800 / 1600F,1ZCD11561752,RIP,,,,,,,,
204,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#1 500/150kV (HV),CG PAUWELS,EORF.167/680,22-Nov-2017,2017,8,L.S,ABB ,RTKF 170-750 / 2500B,1ZCD11563739,RIP,,,,,,,,
205,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#1 500/150kV (HV),CG PAUWELS,EORF.167/680,22-Nov-2017,2017,8,TV.1S,ABB,RKTF 123-550 / 2500 B,1ZCD11563745,RIP,,,,,,,,
206,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#1 500/150kV (HV),CG PAUWELS,EORF.167/680,22-Nov-2017,2017,8,TV.2S,ABB,RKTF 123-550 / 2500 B,1ZCD11563744,RIP,,,,,,,,
207,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#1 500/150kV (HV),CG PAUWELS,EORF.167/680,22-Nov-2017,2017,8,H.T,ABB,RTKF 550-1800 / 1600F,1ZCD11561753,RIP,,,,,,,,
208,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#1 500/150kV (HV),CG PAUWELS,EORF.167/680,22-Nov-2017,2017,8,L.T,ABB ,RTKF 170-750 / 2500B,1ZCD11563738,RIP,,,,,,,,
209,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#1 500/150kV (HV),CG PAUWELS,EORF.167/680,22-Nov-2017,2017,8,TV.1T,ABB,RKTF 72.5-350 / 1600 B,1ZCD11563746,RIP,,,,,,,,
210,UPT PURWOKERTO,GITET 500KV KESUGIHAN,IBT#1 500/150kV (HV),CG PAUWELS,EORF.167/680,22-Nov-2017,2017,8,TV.2T,ABB,RKTF 123-550 / 2500 B,1ZCD11563742,RIP,,,,,,,,
211,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#1 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,H.R,ABB,RTKF 550-1800 / 2000B,1ZCD12231389,RIP,,,,,,,,
212,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#1 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,L.R,ABB,RTKF 170-750 / 2500B,1ZCD12195688,RIP,,,,,,,,
213,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#1 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,TV.1R,ABB,RTKF 123-550 / 2500 B,1ZCD12195643,RIP,,,,,,,,
214,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#1 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,TV.2R,ABB,RTKF 123-550 / 2500 B,1ZCD12195645,RIP,,,,,,,,
215,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#1 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,H.S,ABB,RTKF 550-1800 / 2000B,1ZCD12231392,RIP,,,,,,,,
216,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#1 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,L.S,ABB,RTKF 170-750 / 2500B,,RIP,,,,,,,,
217,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#1 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,TV.1S,ABB,RTKF 123-550 / 2500 B,,RIP,,,,,,,,
218,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#1 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,TV.2S,ABB,RTKF 123-550 / 2500 B,,RIP,,,,,,,,
219,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#1 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,H.T,ABB,RTKF 550-1800 / 2000B,,RIP,,,,,,,,
220,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#1 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,L.T,ABB,RTKF 170-750 / 2500B,,RIP,,,,,,,,
221,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#1 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,TV.1T,ABB,RTKF 123-550 / 2500 B,,RIP,,,,,,,,
222,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#1 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,TV.2T,ABB,RTKF 123-550 / 2500 B,,RIP,,,,,,,,
223,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#2 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,H.R,ABB,RTKF 550-1800 / 2000B,,RIP,,,,,,,,
224,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#2 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,L.R,ABB,RTKF 170-750 / 2500B,,RIP,,,,,,,,
225,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#2 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,TV.1R,ABB,RTKF 123-550 / 2500 B,,RIP,,,,,,,,
226,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#2 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,TV.2R,ABB,RTKF 123-550 / 2500 B,,RIP,,,,,,,,
227,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#2 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,H.S,ABB,RTKF 550-1800 / 2000B,,RIP,,,,,,,,
228,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#2 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,L.S,ABB,RTKF 170-750 / 2500B,,RIP,,,,,,,,
229,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#2 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,TV.1S,ABB,RTKF 123-550 / 2500 B,,RIP,,,,,,,,
230,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#2 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,TV.2S,ABB,RTKF 123-550 / 2500 B,,RIP,,,,,,,,
231,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#2 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,H.T,ABB,RTKF 550-1800 / 2000B,,RIP,,,,,,,,
232,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#2 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,L.T,ABB,RTKF 170-750 / 2500B,,RIP,,,,,,,,
233,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#2 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,TV.1T,ABB,RTKF 123-550 / 2500 B,,RIP,,,,,,,,
234,UPT PURWOKERTO,GITET 500KV PEMALANG,IBT#2 500/150kV (HV),XD SAKTI INDONESIA,DFSZ-166667/500,23-Nov-2020,2019,5,TV.2T,ABB,RTKF 123-550 / 2500 B,,RIP,,,,,,,,
235,UPT SALATIGA,GI 150KV AMPEL,TRF#1 150/22kV,UNINDO,MPT,22-Agu-2022,2019,3,R,PASSONIVILLA,PNR.170.7501250,HH032000832,RIP,,,,,,,,
236,UPT SALATIGA,GI 150KV AMPEL,TRF#1 150/22kV,UNINDO,MPT,22-Agu-2022,2019,3,S,PASSONIVILLA,PNR.170.7501250,,RIP,,,,,,,,
237,UPT SALATIGA,GI 150KV AMPEL,TRF#1 150/22kV,UNINDO,MPT,22-Agu-2022,2019,3,T,PASSONIVILLA,PNR.170.7501250,,RIP,,,,,,,,
238,UPT SALATIGA,GI 150KV BANTUL,TRF#3 150/20kV,PASTI,ORF.60/275,14-Des-1995,1994,30,R,PASSONIVILLA,PNO.170.7501250,39875,OIP,,,,,GOOD,,,
239,UPT SALATIGA,GI 150KV BANTUL,TRF#3 150/20kV,PASTI,ORF.60/275,14-Des-1995,1994,30,S,PASSONIVILLA,PNO.170.7501250,,OIP,,,,,GOOD,,,
240,UPT SALATIGA,GI 150KV BANTUL,TRF#3 150/20kV,PASTI,ORF.60/275,14-Des-1995,1994,30,T,PASSONIVILLA,PNO.170.7501250,,OIP,,,,,GOOD,,,
